,Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unit
12425,CPIM.SAP0181,2020.01,4.73,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cucumber,1kg,0,1kg
12583,CPIM.SAP0182,2020.01,6.56,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Dessert,frozen,500g,500g
12758,CPIM.SAP0183,2020.01,1.24,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fruit flavoured drink powder,multipack of 3 to 5,0,0
12916,CPIM.SAP0184,2020.01,1.91,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Dried pasta,spaghetti or other type,500g,500g
13091,CPIM.SAP0185,2020.01,4.13,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Drinking chocolate,300g,0,300g
13266,CPIM.SAP0186,2020.01,5.69,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Milk,calcium enriched,2 litres,2 litres
13441,CPIM.SAP0187,2020.01,7.74,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fish fillets,frozen,multipack,500g
13563,CPIM.SAP0188,2020.01,4.26,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Flat bread - pita,tortilla,or other type,0
13721,CPIM.SAP0189,2020.01,5.14,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Eggs,free range,6 pack,6 pack
13896,CPIM.SAP0190,2020.01,35.57,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fresh fish,1kg,0,1kg
14054,CPIM.SAP0191,2020.01,4.87,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fresh pasta,tortellini or other filled type,300g,300g
14229,CPIM.SAP0192,2020.01,12.64,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Fried and other takeaway chicken,5 pieces,0,0
